debuggroup summary 5.65s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/scatter.conf
debuggroup summary 5.65s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/scatter.conf
debuggroup summary 5.65s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/scatter.conf
debuggroup summary 5.65s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/scatter.conf
debuggroup summary 5.65s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/scatter.conf
debuggroup summary 5.66s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/scatter.conf
debuggroup summary 5.66s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/scatter.conf
debuggroup summary 5.66s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/scatter.conf
debuggroup summary 5.66s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/scatter.conf
debuggroup summary 5.66s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/scatter.conf
debuggroup summary 5.66s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/scatter.conf
debuggroup summary 5.66s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/scatter.conf
debuggroup summary 5.66s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/scatter.conf
debuggroup summary 5.66s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/scatter.conf
debuggroup summary 5.66s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/scatter.conf
debuggroup summary 5.66s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/scatter.conf
debuggroup summary 5.66s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/scatter.conf
debuggroup summary 5.67s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/histogram.conf
debuggroup summary 5.67s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/scatter.conf
debuggroup summary 5.67s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/histogram.conf
debuggroup summary 5.67s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/scatter.conf
debuggroup summary,output 5.99s generating output
debuggroup summary,output 6.77s created PNG image etc/circos.png (676 kb)
debuggroup summary,output 6.77s created SVG image etc/circos.svg (489 kb)
debuggroup timer 6.77s report circos 6.679 s
debuggroup timer 6.77s report color 0.959 s
debuggroup timer 6.77s report colorcache 0.011 s
debuggroup timer 6.77s report colordefinitions 0.413 s
debuggroup timer 6.77s report colorfetch 0.046 s
debuggroup timer 6.77s report colorlists 0.028 s
debuggroup timer 6.77s report colorlookups 0.015 s
debuggroup timer 6.77s report colortransparency 1.001 s
debuggroup timer 6.77s report graphic_png_polygon 0.112 s
debuggroup timer 6.77s report graphic_slice 0.387 s
debuggroup timer 6.77s report graphic_slice_polygon_coord 0.057 s
debuggroup timer 6.77s report graphic_slice_polygon_svg 0.135 s
debuggroup timer 6.77s report graphic_slice_preprocess 0.065 s
debuggroup timer 6.77s report highlights 0.000 s
debuggroup timer 6.77s report ideograms_draw 3.506 s
debuggroup timer 6.77s report ideograms_processing 0.024 s
debuggroup timer 6.77s report ideograms_ticks_draw 2.934 s
debuggroup timer 6.77s report ideograms_zoom 0.136 s
debuggroup timer 6.77s report karyotype 0.327 s
debuggroup timer 6.77s report parameter_seek 0.326 s
debuggroup timer 6.77s report unitconvert 0.007 s
debuggroup timer 6.77s report unitconvert_decision 0.000 s
debuggroup timer 6.77s report unitconvert_delegate 0.004 s
debuggroup timer 6.77s report unitparse 0.032 s
